Countries,GDP (M$)
Algeria,160325.54
Angola,72148.29
Benin,15921.69
Botswana,16797.9
Burkina Faso,17950.03
Burundi,3148.44
Cabo Verde,2050.18
Cameroon,41947.69
Central African Republic,2415.56
Chad,11175.92
Comoros,1230.38
Congo,11840.38
Côte d'Ivoire,64897.44
Democratic Republic of the Congo,52049.21
Equatorial Guinea,11244.23
Eritrea,2101.98
Eswatini,4406.95
Ethiopia,96147.14
Gabon,17474.28
Gambia,1888.07
Ghana,72487.96
Guinea,14574.01
Guinea-Bissau,1577.17
Kenya,103797.36
Lesotho,2371.17
Liberia,3208.67
Madagascar,13903.62
Malawi,11759.86
Mali,18181.11
Mauritania,8822.62
Mauritius,12438.55
Mozambique,15107.89
Namibia,11811.32
Niger,13858.51
Nigeria,447780.05
Rwanda,10536.99
Sao Tome and Principe,479.1
Senegal,25175.97
Seychelles,1466.51
Sierra Leone,4129.57
South Africa,381722.14
South Sudan,5130.12
Togo,7740.33
Uganda,39493.41
United Republic of Tanzania,65738.64
Zambia,21188.98
Zimbabwe,29625.67
Antigua and Barbuda,1509.63
Argentina,443212.28
Bahamas,11367.33
Barbados,4960.33
Belize,2329.33
Bolivia (Plurinational State of),39311.14
Brazil,1666339.45
Canada,1797603.4
Chile,283100.99
Colombia,303898.15
Costa Rica,63809.92
Cuba,105390.0
Dominica,550.86
Dominican Republic,87343.15
Ecuador,104521.67
El Salvador,26727.0
Grenada,1120.62
Guatemala,80599.02
Guyana,6101.03
Haiti,16185.24
Honduras,25802.18
Jamaica,14766.92
Mexico,1210787.83
Nicaragua,13065.54
Panama,61522.0
Paraguay,37769.47
Peru,221365.61
Saint Kitts and Nevis,950.99
Saint Lucia,1767.04
Saint Vincent and the Grenadines,884.07
Suriname,3855.0
Trinidad and Tobago,23123.06
United States of America,21918843.33
Uruguay,58036.53
Venezuela (Bolivarian Republic of),122825.89
Afghanistan,17995.64
Bahrain,37526.6
Djibouti,3214.08
Egypt,383333.18
Iran (Islamic Republic of),555652.85
Iraq,203240.4
Jordan,44973.24
Kuwait,126312.26
Lebanon,36047.11
Morocco,131044.79
Oman,83407.89
Pakistan,309390.58
Qatar,166819.87
Saudi Arabia,813807.64
Sudan,34236.33
Tunisia,43710.37
United Arab Emirates,394161.48
Albania,16263.16
Andorra,3123.6
Armenia,13374.14
Austria,453405.07
Azerbaijan,48496.47
Belarus,64662.04
Belgium,551810.42
Bosnia and Herzegovina,21452.65
Bulgaria,74410.97
Croatia,62942.8
Cyprus,26436.5
Czechia,260104.65
Denmark,366674.81
Estonia,33214.5
Finland,278929.63
France,2775253.8
Georgia,17316.39
Germany,4012611.25
Greece,203019.03
Hungary,167840.99
Iceland,23923.12
Ireland,443119.01
Israel,434754.93
Italy,2007623.44
Kazakhstan,183287.27
Kyrgyzstan,8464.19
Latvia,36224.07
Lithuania,59322.36
Luxembourg,76441.52
Malta,16219.51
Monaco,7573.26
Montenegro,5391.29
Netherlands (Kingdom of the),943929.2
North Macedonia,12933.38
Norway,422223.2
Poland,625615.76
Portugal,241000.63
Republic of Moldova,12319.8
Romania,262556.24
Russian Federation,1669279.33
San Marino,1635.25
Serbia,55984.25
Slovakia,110365.22
Slovenia,56595.66
Spain,1366221.58
Sweden,572596.65
Switzerland,753957.81
Tajikistan,8457.53
Türkiye,766419.4
Turkmenistan,56840.57
Ukraine,170195.46
United Kingdom of Great Britain and Northern Ireland,2894715.34
Uzbekistan,62977.99
Bangladesh,379314.11
Bhutan,2419.44
India,2902064.81
Indonesia,1121553.42
Maldives,4916.58
Myanmar,71652.85
Nepal,34444.81
Sri Lanka,87781.04
Thailand,516744.18
Timor-Leste,1606.67
Australia,1514105.79
Brunei Darussalam,13160.4
Cambodia,26641.08
China,15654113.01
Cook Islands,322.58
Fiji,4751.75
Japan,5057439.98
Kiribati,193.45
Lao People's Democratic Republic,18654.35
Malaysia,358499.44
Marshall Islands,245.67
Micronesia (Federated States of),411.33
Mongolia,14268.59
Nauru,132.05
New Zealand,225366.55
Niue,28.67
Palau,254.67
Papua New Guinea,24977.82
Philippines,377553.66
Republic of Korea,1702233.96
Samoa,876.3
Singapore,383008.78
Solomon Islands,1578.53
Tonga,489.0
Tuvalu,55.31
Vanuatu,939.19
Viet Nam,349039.52
